Locație,Numărul total de cazuri,Cazuri noi (o zi*),Cazuri noi (în ultimele 60 zile),Cazuri la un milion de persoane,Decese
Toată lumea,Nu există date,Nu există date,,Nu există date,Nu există date
Gabon,9.571,0,,4.405,64
Reunion,9.037,0,,10.547,42
Hong Kong,8.923,35,,1.190,150
Guadelupa,8.620,0,,21.192,155
Rwanda,8.567,107,,692,98
Andorra,8.166,49,,105.309,84
Bahamas,7.887,0,,20.468,171
Thailanda,7.694,315,,116,64
Mali,7.226,23,,362,276
Trinidad şi Tobago,7.162,4,,5.251,127
Burkina Faso,6.940,112,,333,86
Malawi,6.712,28,,351,192
Guyana,6.351,3,,8.114,164
Surinam,6.343,66,,10.910,123
Martinica,6.091,0,,15.694,43
Congo,6.049,Nu există date,,1.096,99
Nicaragua,6.046,0,,936,165
Mayotte,5.890,0,,25.744,55
Djibouti,5.841,1,,5.416,61
Islanda,5.754,0,,15.796,29
Aruba,5.532,23,,49.257,49
Guineea Ecuatorială,5.277,0,,3.885,86
Republica Centrafricană,4.963,0,,903,63
Somalia,4.714,0,,297,130
Curaçao,4.294,5,,27.063,16
Gambia,3.800,0,,1.619,124
Togo,3.683,21,,489,68
Sudanul de Sud,3.558,0,,278,63
Niger,3.437,34,,154,110
Benin,3.251,0,,277,44
Lesotho,3.206,0,,1.597,65
Sierra Leone,2.646,11,,335,76
Guineea-Bissau,2.452,0,,1.528,45
San Marino,2.428,0,,72.318,59
Gibraltar,2.304,92,,68.366,7
Liechtenstein,2.202,27,,56.827,39
Noua Zeelandă,2.181,19,,438,25
Ciad,2.169,28,,134,104
Yemen,2.101,0,,70,610
Jersey,1.779,Nu există date,,16.657,32
Liberia,1.779,0,,398,83
Vietnam,1.482,8,,15,35
Sint Maarten,1.462,4,,35.997,27
Mongolia,1.263,21,,382,1
Eritrea,1.252,0,,358,1
São Tomé şi Príncipe,1.024,2,,5.075,17
Saint Martin,995,0,,27.835,12
Insulele Turks şi Caicos,909,16,,21.973,6
Monaco,901,16,,23.525,3
Comore,864,41,,989,13
Burundi,822,0,,75,2
Taiwan,808,6,,34,7
Papua Noua Guinee,780,0,,87,9
Bhutan,710,21,,957,0
Insulele Bermude,622,18,,9.715,10
Insulele Faroe,614,4,,11.780,0
Mauritius,527,0,,416,10
Tanzania,509,0,,9,21
Barbados,395,0,,1.376,7
Cambodgia,381,2,,25,0
Insula Man,380,3,,4.561,25
Saint Lucia,353,0,,1.975,5
Insulele Cayman,338,0,,5.136,2
Seychelles,285,10,,2.919,0
Insulele Caraibe Olandeze,196,0,,7.891,3
Saint Barthélemy,190,0,,Nu există date,1
Antigua şi Barbuda,159,0,,1.648,5
Brunei Darussalam,157,0,,355,3
Grenada,127,0,,1.134,0
Saint Vincent şi Grenadinele,122,1,,1.103,0
Dominica,88,0,,1.225,0
Insulele Virgine Britanice,86,0,,2.864,1
Fiji,49,0,,55,2
Macao,46,0,,68,0
Timorul de Est,44,0,,32,0
Laos,41,0,,6,0
Noua Caledonie,38,0,,135,0
Saint Kitts şi Nevis,33,1,,625,0
Insulele Falkland (Insulele Malvine),29,0,,Nu există date,0
Groenlanda,27,0,,481,0
Vatican,27,0,,Nu există date,0
Saint Pierre şi Miquelon,16,0,,Nu există date,0
Montserrat,13,0,,Nu există date,1
Anguilla,13,0,,874,0
Sahara de Vest,10,Nu există date,,17,1
Guernsey,Nu există date,Nu există date,,Nu există date,Nu există date
Insulele Bouvet,Nu există date,Nu există date,,Nu există date,Nu există date
Insulele Åland,Nu există date,Nu există date,,Nu există date,Nu există date
Teritoriul Britanic din Oceanul Indian,Nu există date,Nu există date,,Nu există date,Nu există date
Turkmenistan,0,Nu există date,,0,0
Svalbard,Nu există date,Nu există date,,Nu există date,Nu există date
Insulele Solomon,Nu există date,Nu există date,,Nu există date,Nu există date
Ciprului de Nord,Nu există date,Nu există date,,Nu există date,Nu există date
Insula Christmas,Nu există date,Nu există date,,Nu există date,Nu există date
Insulele Cocos,Nu există date,Nu există date,,Nu există date,Nu există date
Insulele Cook,Nu există date,Nu există date,,Nu există date,Nu există date
Teritoriile australe şi antarctice franceze,Nu există date,Nu există date,,Nu există date,Nu există date
Statele Federate ale Microneziei,Nu există date,Nu există date,,Nu există date,Nu există date
Insula Heard şi Insulele McDonald,Nu există date,Nu există date,,Nu există date,Nu există date
Kiribati,Nu există date,Nu există date,,Nu există date,Nu există date
Insulele Marshall,Nu există date,Nu există date,,Nu există date,Nu există date
Niue,Nu există date,Nu există date,,Nu există date,Nu există date
Coreea de Nord,Nu există date,Nu există date,,Nu există date,Nu există date
